entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,position_size,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_cap
2015-02-23 00:00:00,2015-02-28 00:00:00,2106.25,2104.5,-0.1330860534124622,8,1.0,Time Exit (Days),long,0.3323442136498489,0.047477744807111755,0.28486646884273714,-1.5786350148367934,30
2015-03-01 00:00:00,2015-03-06 00:00:00,2104.5,2098.5,-0.33510334996436625,8,1.0,Time Exit (Days),long,0.3682584937039657,-0.34449988120693886,-1.5324305060584464,-2.910430030886191,30
2015-03-16 08:50:00,2015-03-21 08:50:00,2062.5,2099.75,1.756060606060611,8,1.0,Time Exit (Days),long,1.6121212121212203,1.806060606060611,1.0303030303030258,-0.7030303030303053,30
2015-03-22 00:00:00,2015-03-25 08:46:00,2099.75,2078.7525,-1.050000000000001,1,1.0,Stop Loss,long,-0.15478033099178834,-2.2026431718061623,-2.2621740683414715,-2.8574830336944856,30
2015-03-30 02:50:00,2015-03-31 19:54:00,2069.0,2048.31,-1.050000000000001,1,1.0,Stop Loss,long,-0.845819236346057,-1.413726437892704,-0.06041565973899932,1.014983083615273,30
2015-04-02 08:51:00,2015-04-03 08:02:00,2061.75,2041.1325,-1.050000000000001,1,1.0,Stop Loss,long,-1.067054686552682,0.5941554504668378,1.6490845155814338,0.7032860434097232,30
2015-04-06 08:45:00,2015-04-11 08:45:00,2058.75,2095.75,1.747207043108684,8,1.0,Time Exit (Days),long,0.7407407407407307,1.797207043108684,1.5179113539769196,1.6514875531268958,30
2015-04-14 00:00:00,2015-04-17 12:55:00,2090.0,2069.1,-1.050000000000001,1,1.0,Stop Loss,long,0.5980861244019087,-0.6578947368421018,0.1315789473684159,0.9210526315789558,30
2015-04-20 02:12:00,2015-04-25 02:12:00,2087.25,2111.75,1.1237932686549212,8,1.0,Time Exit (Days),long,0.5389867049946151,1.1737932686549213,1.0540184453228019,0.16768475266499827,30
2015-04-28 00:00:00,2015-04-30 13:24:00,2103.25,2082.2175,-1.0499999999999898,1,1.0,Stop Loss,long,-0.32093189112087916,-0.04754546535123971,-0.5943183168905297,-0.15452276239154017,30
2015-05-01 12:52:00,2015-05-06 00:00:00,2099.0,2091.0,-0.43113387327298747,4,1.0,MA Cross,long,-0.39304430681277314,-0.5955216769890415,0.41686517389232236,1.0004764173416003,30
2015-05-08 07:30:00,2015-05-13 07:30:00,2096.25,2100.75,0.16466905187834674,8,1.0,Time Exit (Days),long,0.17889087656528524,0.9779367918902881,1.1329755515802065,1.3476446034585532,30
2015-05-14 02:52:00,2015-05-19 02:52:00,2103.25,2131.75,1.3050457625103984,8,1.0,Time Exit (Days),long,0.7963865446332985,0.73695471294426,1.0103411387138994,0.1307500297159203,30
2015-05-21 00:00:00,2015-05-26 00:00:00,2118.75,2119.75,-0.00280235988199813,8,1.0,Time Exit (Days),long,0.27138643067845525,-0.7551622418879078,0.1415929203539834,-1.0029498525073732,30
2015-05-27 12:05:00,2015-06-01 00:00:00,2117.5,2110.25,-0.39238488783943093,4,1.0,MA Cross,long,-0.5430932703660019,-0.44864226682408415,-0.9445100354191216,-0.5785123966942196,30
2015-06-03 05:50:00,2015-06-04 12:21:00,2112.5,2091.375,-1.050000000000001,1,1.0,Stop Loss,long,-0.9940828402366875,-1.4201183431952646,-0.3431952662721893,0.035502958579880506,30
2015-06-10 09:35:00,2015-06-14 17:00:00,2097.25,2076.2775,-1.0499999999999898,1,1.0,Stop Loss,long,-0.6079389676957869,-0.36953152938371536,0.7629038025986468,-0.16688520681845675,30
2015-06-16 13:08:00,2015-06-21 13:08:00,2088.25,2097.0,0.3690111337244007,8,1.0,Time Exit (Days),long,1.19717466778404,0.4190111337244007,0.7542200407039346,-0.8978810008380189,30
2015-06-22 00:00:00,2015-06-27 00:00:00,2107.0,2095.5,-0.5957997152349293,8,1.0,Time Exit (Days),long,0.41528239202657247,-0.6288561936402481,-2.4679639297579548,-1.6848599905078365,30
2015-07-02 07:35:00,2015-07-05 17:00:00,2076.75,2055.9825,-1.050000000000001,1,1.0,Stop Loss,long,-0.46948356807511304,-1.1917659804983716,-0.3009510051763531,2.0705429156133492,30
2015-07-06 09:45:00,2015-07-07 09:07:00,2068.75,2048.0625,-1.050000000000001,1,1.0,Stop Loss,long,-0.809667673716008,0.08459214501510548,1.6797583081570977,1.800604229607261,30
2015-07-09 08:19:00,2015-07-09 15:00:00,2063.25,2042.6175,-1.050000000000001,1,1.0,Stop Loss,long,0.3513873742881479,2.3021931418877983,2.738398158245481,0.7512419726160235,30
2015-07-10 00:56:00,2015-07-15 00:56:00,2065.25,2104.25,1.8383912359278554,8,1.0,Time Exit (Days),long,1.8520760198523112,2.445224549086067,2.638905701488925,0.6536738893596405,30
