event_date,event_type,surprise_direction,actual_value,forecast_value,surprise_pct,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2
2018-06-12,CPI,worse,2.78192,2.7,3.034074074074065,0.10687182218256375,0.10687182218256375,0.17433501078361058,-0.4026050917702695,0.2471510972283708
2018-06-13,FOMC,inline,1.7,1.7,0.0,0.10687182218256375,0.17433501078361058,-0.37329102701694206,0.2471510972283708,-0.10170746345898873
2018-07-12,CPI,better,2.80755,2.9000000000000004,-3.1879310344827707,0.3473207455004568,-0.7094178621538827,0.8749035695488905,0.10792305300737493,-0.1028090429120665
2018-08-01,FOMC,inline,1.91,1.7,12.352941176470583,-0.5754180827438504,0.488474987511589,0.06153014443579519,0.4926493587738445,0.46441380578801095
2018-08-10,CPI,better,2.85412,3.0,-4.862666666666668,-0.026237996116773576,-0.1441718864821362,-0.7113870997133342,-0.4005957759204981,-0.4005957759204981
2018-09-13,CPI,better,2.64292,2.8000000000000003,-5.610000000000003,0.37398379635260603,0.035666178420923345,0.5282250806529776,0.027546501938591206,-0.5569745746958565
2018-09-26,FOMC,inline,1.93,1.91,1.0471204188481684,-0.35157543341060027,-0.13050760951849316,-0.6495793119245641,0.27632769780832067,-0.0006863417982172493
2018-10-11,CPI,better,2.33206,2.4,-2.830833333333338,-0.14179577940874877,-3.2864175757028824,-2.0573073719881707,1.4206284338267983,-0.5905035180855278
2018-11-08,FOMC,worse,2.2,1.93,13.989637305699496,0.6259335137365651,2.120887695294771,-0.11210044199603253,-0.9198989607493102,-1.9701475363267495
2018-11-14,CPI,inline,2.49203,2.5,-0.3187999999999924,-1.9701475363267495,-0.1481905348797996,-0.7567464311691308,1.0593800664796094,0.22232803457622463
2018-12-12,CPI,better,2.14733,2.2,-2.3940909090908886,0.1762194844060927,-0.03563683787511929,0.5419488922094429,-0.019991927787654795,-1.9086676677205427
2018-12-19,FOMC,inline,2.2,2.2,0.0,-2.0773476413007863,0.008641209140813899,-1.9700157194585066,-1.5772090500047797,-2.0588306814405377
